epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4613,1.43468,2.50113,1.47128,0.51722,0.26724,0.02151,0.00526,2.57255,147.092,5.43723,0.070625,0.00326389,0.00326389
2,104.408,1.60551,2.31488,1.56145,0.00302,0.30252,0.00327,0.00077,3.79213,688.134,15.7576,0.0403638,0.00633597,0.00633597
3,206.824,1.60881,2.21204,1.55057,0.0073,0.20349,0.01005,0.00303,3.05694,27.8369,4.52412,0.0098385,0.00914406,0.00914406
